shape_group_id,candidate_id,candidate_kind,status
m8_n8_k97_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k97_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k97_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k127_f32,fused_scalar,scalar_baseline,measured
m8_n8_k127_f32,whole_shape_vector_no_padding,whole_shape_vector_no_padding,illegal
m8_n8_k127_f32,whole_shape_vector_materialized_padding,whole_shape_vector_materialized_padding,illegal
m8_n8_k127_f32,tiled_vector_full_tiles,tiled_vector_full_tiles,illegal
m8_n8_k127_f32,tiled_vector_materialized_tail,tiled_vector_materialized_tail,measured
m8_n8_k127_f32,tiled_vector_direct_k,tiled_vector_direct_cleanup,measured
m8_n8_k127_f32,tiled_vector_direct_scalar,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k127_f32,tiled_vector_specialized_tail,tiled_vector_specialized_tail,lowering_incomplete
m8_n8_k127_f32,tiled_vector_masked_transfer,tiled_vector_direct_cleanup,lowering_incomplete
m8_n8_k127_f32,unfused_vector,unfused_vector,lowering_incomplete
m8_n8_k128_f32,fused_scalar,scalar_baseline,measured
